,1,2,3,4,5,6,7,8,9
RPS9 ,0.709077314,0.860514645,0.844776805,0.604399447,0.755836778,0.740098938,0.611007751,0.762445081,0.746707242
LDHB ,-0.282365524,-0.32498078,-0.252554276,-0.332157626,-0.374772882,-0.302346379,-0.339603861,-0.382219117,-0.309792614
PTBP1 ,-0.542056412,-0.604596351,-0.445614076,-0.510057526,-0.572597466,-0.41361519,-0.54467249,-0.607212429,-0.448230154
ACTR2 ,-0.235160842,-0.270534682,-0.288215249,-0.191223247,-0.226597087,-0.244277654,-0.17884606,-0.214219899,-0.231900466
CKMT1A ,-0.465184778,-0.565573094,-0.562925726,-0.332017823,-0.43240614,-0.429758771,-0.414673216,-0.515061532,-0.512414164
CDC37 ,0.157121576,0.222439251,0.206446532,0.136403452,0.201721128,0.185728408,0.127322649,0.192640324,0.176647605
FKBP1A ,-0.173750155,-0.219699264,-0.225184268,-0.213321464,-0.259270574,-0.264755578,-0.272418232,-0.318367342,-0.323852346
EHD1 ,-0.455295934,-0.477912853,-0.442520219,-0.34154233,-0.364159248,-0.328766615,-0.272351709,-0.294968627,-0.259575993
COX7A2 ,0.542854,0.464645713,0.317680432,0.57595888,0.497750594,0.350785312,0.541613558,0.463405272,0.31643999
CPNE3,-1.033394103,-0.953968521,-0.755728965,-1.646773005,-1.567347423,-1.369107866,-1.178707469,-1.099281887,-0.90104233
AK1 ,0.310950522,0.313035748,0.22897435,0.265104116,0.267189342,0.183127943,0.230927528,0.233012755,0.148951356
EFTUD2 ,0.064353691,0.094515318,0.086034817,0.113306005,0.143467632,0.134987131,0.076874949,0.107036575,0.098556074
HADHB ,-0.30990618,-0.438295643,-0.404412236,-0.351207719,-0.479597182,-0.445713774,-0.594365141,-0.722754604,-0.688871196
ACTN2 ,-0.896287163,-1.207933167,-1.211114879,-0.485566907,-0.797212911,-0.800394623,-1.004597765,-1.316243768,-1.31942548
PSMA4 ,-0.257268919,-0.24562767,-0.253398567,-0.220687784,-0.209046535,-0.216817432,-0.411642372,-0.400001123,-0.40777202
SOWAHA ,-0.261152333,-0.232205234,-0.331367929,-0.268569619,-0.239622521,-0.338785216,-0.434510865,-0.405563766,-0.504726461
FUBP3 ,-0.399403,-0.414822969,-0.221643329,-0.374709459,-0.390129427,-0.196949787,-0.38400943,-0.399429398,-0.206249758
CAND1 ,-0.675207487,-0.654278432,-0.770882396,-0.350212791,-0.329283736,-0.4458877,-0.694359315,-0.67343026,-0.790034224
YARS1 ,-0.363994267,-0.350140151,-0.238553713,-0.386017254,-0.372163139,-0.2605767,-0.261523977,-0.247669861,-0.136083423
PSMB6 ,-0.427211081,-0.54657725,-0.569601021,-0.230478377,-0.349844545,-0.372868317,-0.521851631,-0.6412178,-0.664241571
ATP1A2 ,0.767868887,0.790782752,0.509979056,0.542628369,0.565542233,0.284738537,0.618644498,0.641558363,0.360754666
KRT81 ,0.342865677,0.545808377,0.723907818,0.2635911,0.4665338,0.644633241,0.299150695,0.502093395,0.680192836
PRPS1 ,-1.08339649,-1.057511716,-0.931966081,-0.482623468,-0.456738694,-0.33119306,-0.939583485,-0.91369871,-0.788153076
DDOST ,-0.377137836,-0.588938332,-0.421504519,-0.505958963,-0.717759459,-0.550325646,-0.251783136,-0.463583632,-0.296149819
HYOU1 ,-0.162386323,-0.298253715,-0.209001114,-0.245110639,-0.380978031,-0.29172543,-0.141960716,-0.277828108,-0.188575507
DNM3 ,1.25071716,0.800397771,0.677703056,1.010358283,0.560038894,0.43734418,1.051378156,0.601058767,0.478364052
NAALAD2 ,-0.233024642,-0.387351378,-0.190370074,-0.341427036,-0.495753772,-0.298772468,-0.371780223,-0.52610696,-0.329125656
SND1 ,-0.271407169,-0.242783471,-0.316559472,-0.258274194,-0.229650496,-0.303426497,-0.504155878,-0.475532179,-0.54930818
SNX6 ,-0.203188142,-0.189823348,-0.137413181,-0.276734227,-0.263369434,-0.210959267,-0.411235729,-0.397870935,-0.345460768
VWA3A ,0.354233612,0.427045449,0.16534357,0.437856526,0.510668363,0.248966483,0.364740834,0.437552671,0.175850791
PYGB ,0.656070317,0.531931158,0.252059491,0.639509969,0.51537081,0.235499142,0.668508072,0.544368912,0.264497245
ARCN1 ,-0.131711697,-0.09562996,-0.109254383,-0.248022889,-0.211941152,-0.225565575,-0.290410308,-0.254328571,-0.267952994
CLNS1A ,-0.355607526,-0.252931163,-0.230033462,-0.310785572,-0.20810921,-0.185211509,-0.538018401,-0.435342039,-0.412444338
DYNC1LI2 ,-0.360154283,-0.652884866,-0.601806963,-0.172668423,-0.465399005,-0.414321102,-0.383848932,-0.676579515,-0.625501611
RPA3 ,-0.791072969,-0.627256615,-0.490415062,-0.601553021,-0.437736668,-0.300895114,-0.532591354,-0.368775,-0.231933447
NONO ,-0.256442928,-0.223002923,-0.34557083,-0.262951802,-0.229511797,-0.352079704,-0.514490392,-0.481050387,-0.603618294
DPYSL2 ,-0.138349388,-0.23997691,-0.337084946,-0.13954246,-0.241169983,-0.338278018,-0.195108631,-0.296736154,-0.39384419
RPS4X ,0.404446951,0.538968098,0.576878706,0.135162707,0.269683854,0.307594462,0.290271042,0.424792189,0.462702797
EIF5B ,0.297244698,0.373811416,0.28785436,0.135699397,0.212266114,0.126309059,0.18221858,0.258785298,0.172828242
OSTF1 ,0.388675689,0.419999695,0.26937076,0.207829463,0.239153469,0.088524535,0.333106718,0.364430724,0.21380179
SERPINA2 ,-0.36859055,-0.427111534,-0.269493277,-0.634613237,-0.693134221,-0.535515964,-0.318085562,-0.376606545,-0.218988288
COPB2 ,0.471338139,0.473613732,0.149421572,0.512703851,0.514979443,0.190787283,0.580907301,0.583182894,0.258990734
ARRDC3 ,-0.232587571,-0.280881732,-0.107833705,-0.352851582,-0.401145743,-0.228097716,-0.474814643,-0.523108804,-0.350060777
RPS21 ,1.408306321,1.420198165,0.770773617,1.47893958,1.490831424,0.841406877,0.92636061,0.938252454,0.288827907
DHX15 ,0.385787087,0.479251959,0.406373465,0.139915555,0.233380426,0.160501933,0.290287922,0.383752794,0.3108743
PSMC6 ,-1.102349234,-2.282853324,-2.233047848,-0.629617284,-1.810121374,-1.760315898,-1.135105381,-2.315609471,-2.265803995
PNP ,0.443489946,0.462603246,0.166351281,0.40083347,0.419946769,0.123694804,0.514550139,0.533663439,0.237411474
VPS26A ,0.342948497,0.315600809,0.306721871,0.171426244,0.144078556,0.135199619,0.413683386,0.386335698,0.37745676
PSMC1 ,0.718531066,0.717842891,0.716049664,0.31894199,0.318253815,0.316460588,0.775428636,0.77474046,0.772947233
VDAC2 ,1.067683396,0.789851069,0.818863895,0.608840689,0.331008363,0.360021188,1.177758518,0.899926191,0.928939017
RPS16 ,1.03432166,0.971817443,0.682362875,0.635824852,0.573320635,0.283866067,0.665637314,0.603133096,0.313678528
RPL26 ,0.664459254,0.578043083,0.26957491,0.806280927,0.719864755,0.411396583,0.547193918,0.460777747,0.152309574
SAR1A ,1.073128502,0.813740713,0.997862247,0.815216581,0.555828793,0.739950327,1.501830239,1.24244245,1.426563984
PDXK ,-0.792294733,-0.666464735,-0.286954123,-0.87189121,-0.746061212,-0.3665506,-1.053296416,-0.927466418,-0.547955806
LHX4 ,0.443446386,0.50489704,0.47749574,0.31774941,0.379200065,0.351798765,0.729219758,0.790670413,0.763269113
UCHL3 ,-0.934461799,-1.255404686,-1.515213685,-0.287231311,-0.608174198,-0.867983197,-0.959932382,-1.28087527,-1.540684269
IMMT ,1.283387194,1.150516706,0.716473067,0.952017092,0.819146605,0.385102965,0.843312886,0.710442398,0.276398759
EIF2S2 ,0.656360505,0.568542371,0.40124417,0.386682338,0.298864204,0.131566003,0.48690416,0.399086026,0.231787825
RAB39B ,-0.23243168,-0.104021689,-0.293692693,-0.525432038,-0.397022048,-0.586693051,-0.630026525,-0.501616535,-0.691287538
PREP ,-0.22976482,-0.388050641,-0.206668482,-0.306362239,-0.46464806,-0.283265901,-0.128252173,-0.286537994,-0.105155835
IARS1 ,0.308356534,0.13217753,0.194298598,0.259635041,0.083456037,0.145577104,0.403967578,0.227788575,0.289909642
ETHE1 ,-0.122134778,-0.267501675,-0.417102017,-0.266033782,-0.41140068,-0.561001021,-0.188936225,-0.334303123,-0.483903464
PRMT1 ,0.556825946,0.554614594,0.219821438,0.46721285,0.465001498,0.130208342,0.461139648,0.458928297,0.124135141
DDT ,0.622335108,0.859232465,0.619258067,0.264416283,0.50131364,0.261339242,0.325919336,0.562816692,0.322842294
