,1,2,3,4,5,6,7,8,9
RPLP2,-0.066427362,-0.064917477,-0.219269964,0.263034406,0.102993993,0.073134705,0.149259365,0.074505436,-0.011587974
ADIRF,0.393965276,0.371837617,0.2880632,0.434027675,0.41467678,0.34596403,0.550900665,0.532067552,0.463622457
TPI1,0.413594082,0.25821739,0.163498732,0.494671612,0.362890643,0.279768422,0.424384672,0.336854639,0.204140717
PFN1,0.295135249,0.344828497,0.14404637,0.35614381,0.317304068,0.220329955,0.432959407,0.38294387,0.259423152
ANXA2,-0.081613766,0.031395196,-0.005782353,-0.033569533,0.051024003,0.044044333,-0.109358756,-0.007231569,-0.01449957
PKM,-0.033569533,0.001441974,-0.100051014,-0.03948829,0.056583528,-0.072482754,0.015782997,0.037030731,-0.013043037
HIST2H2AC,-0.020340448,-0.522840789,-0.307572802,-0.40354186,-0.54793177,-0.327348371,-0.486004021,-0.60823228,-0.204233052
KRT7,-0.2968993,-0.332789088,-0.388355457,-0.358453971,-0.343732465,-0.473931188,-0.17299399,-0.268816758,-0.239566125
HSPE1,1.107687869,1.015069322,0.815575429,1.014355293,1.03562391,0.814755483,1.019346089,1.023610215,0.825378604
YWHAZ,0.231432408,0.147957881,0.141432791,0.336854639,0.290424404,0.240008965,0.236339539,0.261831659,0.132247798
PPIA,0.273814245,0.360645202,0.232660757,0.263034406,0.293958979,0.149259365,0.22650853,0.275007047,0.168642036
UBC,0.98550043,0.818032475,0.501821265,0.931304844,0.779890039,0.46048047,0.859174456,0.773152397,0.401630467
HIST1H2BK,0.27857955,0.057970069,0.075874867,0.276198865,0.070389328,-0.095419565,0.362890643,0.069014678,0.018634174
ACTB,-0.210896782,-0.20756107,-0.128156351,-0.265344567,-0.199255376,-0.114035243,-0.158429363,-0.152003093,-0.058893689
ACTG1,-0.279283757,-0.120294234,-0.131313235,-0.312939312,-0.147202107,-0.118726939,-0.229382353,-0.089267338,-0.06039728
HIST1H2BJ,0.247319935,-0.005782353,-0.066427362,0.175045486,-0.083141235,-0.120294234,0.314986485,-0.001443417,-0.033569533
CFL1,0.337996464,0.078609835,0.149259365,0.255802837,0.134878054,0.140124224,0.341416524,0.147957881,0.189033824
